time,mode,cmd_vx,cmd_vy,cmd_vz,cmd_yaw_rate,pos_x,pos_y,pos_z,roll,pitch,yaw,vel_x,vel_y,vel_z,target_yaw
0.088,hover,0.0,0.0,0.0,0.0,-0.00011845136246374119,1.3704753543840417e-05,0.23321861048559886,-0.0002838881587945396,-0.0005175248576020568,-5.071003874330319e-06,-0.0026827400550819866,0.00021168630909582607,0.41749759656592883,0.0
0.09,hover,0.0,0.0,0.0,0.0,-0.0001239405028774669,1.4135086043977655e-05,0.23405182940891808,-0.0002883301197649393,-0.0005175018719463131,-5.97999997174495e-06,-0.002744570206862857,0.00021516625006861957,0.41660946165961843,0.0
0.092,hover,0.0,0.0,0.0,0.0,-0.00012955205954450467,1.4572036850550427e-05,0.23488303896569743,-0.00029264744869213856,-0.0005168397890651892,-7.210084655445755e-06,-0.002805778333518887,0.0002184754032863857,0.4156047783896746,0.0
0.094,hover,0.0,0.0,0.0,0.0,-0.0001352860821023091,1.5016433329556243e-05,0.23571244986119289,-0.00029684079730669743,-0.0005155617093978513,-8.159097363024258e-06,-0.00286701127890221,0.00022219823950290866,0.41470544774773144,0.0
0.096,hover,0.0,0.0,0.0,0.0,-0.00014114357937450685,1.5468485626614444e-05,0.23654058351130294,-0.0003009217539310168,-0.0005136940589744955,-9.317503711830265e-06,-0.0029287486360988877,0.00022602614852910126,0.41406682505503056,0.0
0.098,hover,0.0,0.0,0.0,0.0,-0.0001471255523101252,1.5928900830305354e-05,0.2373678229140518,-0.0003048952775295083,-0.0005112744384375696,-1.0400359994923444e-05,-0.002990986467809164,0.0002302076018454544,0.4136197013744352,0.0
0.1,hover,0.0,0.0,0.0,0.0,-0.00015323081363566917,1.639732797705629e-05,0.23819373123931736,-0.0003087595171315256,-0.0005082922201995698,-1.1726264555365512e-05,-0.003052630662771983,0.00023421357337546805,0.4129541626327806,0.0
0.10200000000000001,hover,0.0,0.0,0.0,0.0,-0.00015945723351181042,1.6873783942780496e-05,0.23901757131754583,-0.0003125046836382966,-0.000504731891010648,-1.2866752103943312e-05,-0.0031132099380706316,0.00023822798286210283,0.41192003911422925,0.0
0.10400000000000001,hover,0.0,0.0,0.0,0.0,-0.00016580369644336057,1.7357999286093943e-05,0.23983929369116194,-0.0003161334721800875,-0.0005005793370379009,-1.4315216594382674e-05,-0.003173231465775072,0.00024210767165672273,0.4108611868080589,0.0
0.106,hover,0.0,0.0,0.0,0.0,-0.0001722709127785512,1.785091923849507e-05,0.24065937712471627,-0.00031964983666182877,-0.0004958722598320809,-1.5524137139159155e-05,-0.003233608167595319,0.0002464599762005629,0.4100417167771658,0.0
0.108,hover,0.0,0.0,0.0,0.0,-0.00017886005223363227,1.835286763567888e-05,0.24147836271964312,-0.0003230651826355632,-0.0004906455755658875,-1.685395557744644e-05,-0.0032945697275405398,0.0002509741985919039,0.40949279746342326,0.0
0.11,hover,0.0,0.0,0.0,0.0,-0.00018557115682734467,1.886425444425722e-05,0.24229629229567784,-0.0003263799500119076,-0.00048492120583197053,-1.8044881132977338e-05,-0.003355552296856195,0.0002556934042891707,0.40896478801735336,0.0
0.112,hover,0.0,0.0,0.0,0.0,-0.00019240216599083842,1.9384460649842347e-05,0.24311247829453236,-0.00032958916630860115,-0.00047867380211757797,-1.9466348240405262e-05,-0.0034155045817468688,0.00026010310279256404,0.40809299942725646,0.0
0.114,hover,0.0,0.0,0.0,0.0,-0.00019935118015741582,1.9913655021287495e-05,0.24392645113171166,-0.00033268500371475316,-0.00047189179329715594,-2.064730139547018e-05,-0.003474507083288702,0.0002645971857225736,0.4069864185896516,0.0
0.116,hover,0.0,0.0,0.0,0.0,-0.00020641740912426013,2.0451631665017118e-05,0.24473835313517525,-0.0003356727696875662,-0.0004645678668858255,-2.214161079509765e-05,-0.0035331144834221547,0.00026898832186481053,0.4059510017318015,0.0
0.11800000000000001,hover,0.0,0.0,0.0,0.0,-0.000213601964160994,2.099934331980497e-05,0.24554876815653034,-0.00033855833738620923,-0.00045675087620584737,-2.3480136892206543e-05,-0.003592277518366936,0.0002738558273939247,0.40520751067755156,0.0
0.12,hover,0.0,0.0,0.0,0.0,-0.0002209058999717036,2.1557165891909002e-05,0.24635819478397103,-0.00034135185736159095,-0.0004484779129153262,-2.4899418591109962e-05,-0.0036519679053548027,0.0002789112860520161,0.40471331372034675,0.0
0.122,hover,0.0,0.0,0.0,0.0,-0.0002283285099387579,2.2125292871246476e-05,0.24716643621849094,-0.0003440505207542107,-0.0004397579889738079,-2.6147268742230095e-05,-0.0037113049835271463,0.00028406348966873723,0.40412071725995374,0.0
0.124,hover,0.0,0.0,0.0,0.0,-0.000235867673975451,2.2703084727971207e-05,0.24797286774129867,-0.00034665005419270533,-0.0004305643881327788,-2.7622060969553144e-05,-0.003769582018346564,0.00028889592836236485,0.40321576140387405,0.0
0.126,hover,0.0,0.0,0.0,0.0,-0.00024352138054875358,2.3290683651245873e-05,0.2487770514441862,-0.00034914240811275283,-0.00042088362508019,-2.8852705818430304e-05,-0.003826853286651285,0.00029379946163733266,0.4020918514437563,0.0
0.128,hover,0.0,0.0,0.0,0.0,-0.000251288965770411,2.3887942315415514e-05,0.2495792208947774,-0.0003515340580040047,-0.00041071272720697734,-3.0382971362877393e-05,-0.003883792610828708,0.0002986293320848202,0.40108472529560774,0.0
0.13,hover,0.0,0.0,0.0,0.0,-0.0002591715205785674,2.4495761007849373e-05,0.25037994929051033,-0.00035383103375973446,-0.00040010314182652076,-3.1786581272782996e-05,-0.003941277404078213,0.00030390934621692903,0.4003641978664565,0.0
0.132,hover,0.0,0.0,0.0,0.0,-0.00026716979017153556,2.51144461590559e-05,0.25117964401268383,-0.0003560421689852275,-0.0003890890401302421,-3.3279099863695036e-05,-0.003999134796484089,0.0003093425756032634,0.3998473610867587,0.0
0.134,hover,0.0,0.0,0.0,0.0,-0.00027528279820486696,2.574413707182527e-05,0.2519780544223061,-0.00035816366385935957,-0.00037767588080459387,-3.4585805961232054e-05,-0.004056504016665689,0.0003148454563846846,0.39920520481112964,0.0
0.136,hover,0.0,0.0,0.0,0.0,-0.0002835083881873745,2.638417917535285e-05,0.25277461158370523,-0.0003601919259327726,-0.0003658359602219262,-3.613094199378977e-05,-0.0041127949912537695,0.00032002105176378903,0.3982785806995823,0.0
0.138,hover,0.0,0.0,0.0,0.0,-0.00029184452505158655,2.7034722376057503e-05,0.25356892919623286,-0.00036211898508323534,-0.0003535556376145117,-3.7430039795141363e-05,-0.00416806843210601,0.0003252716003523268,0.3971588062638229,0.0
0.14,hover,0.0,0.0,0.0,0.0,-0.00030029069607382785,2.7695690425225175e-05,0.2543613242043902,-0.00036395243833440297,-0.0003408373525851059,-3.900274643657043e-05,-0.004223085511120662,0.0003304840245838354,0.3961975040786694,0.0
0.14200000000000002,hover,0.0,0.0,0.0,0.0,-0.0003088479384168238,2.8367917921716892e-05,0.2551523493435777,-0.00036569847487715894,-0.0003277340077745143,-4.0474827937978476e-05,-0.0042786211714979675,0.00033611374824585837,0.3955125695937555,0.0
0.14400000000000002,hover,0.0,0.0,0.0,0.0,-0.00031751661437161174,2.90516100460142e-05,0.255942294010512,-0.0003673642513199854,-0.0003142746243528442,-4.2048876289033965e-05,-0.004334337977393978,0.0003418460621486536,0.3949723334671318,0.0
0.146,hover,0.0,0.0,0.0,0.0,-0.00032629553231619535,2.974686981693238e-05,0.25673087219655727,-0.00036894522559707756,-0.00030046165116400116,-4.342566863576573e-05,-0.004389458972291809,0.00034762988545909116,0.3942890930226408,0.0
0.148,hover,0.0,0.0,0.0,0.0,-0.0003351824966409214,3.0453028383352487e-05,0.2575175645312117,-0.0003704384043000842,-0.00028626609072854623,-4.505406560944893e-05,-0.004443482162363038,0.00035307928321005264,0.39334616732723127,0.0
0.15,hover,0.0,0.0,0.0,0.0,-0.00034417546744798717,3.117025145996063e-05,0.2583020363872786,-0.00037183594383949093,-0.0002716744787504564,-4.643384020643375e-05,-0.004496485403532874,0.00035861153830407287,0.3922359280334417,0.0
0.152,hover,0.0,0.0,0.0,0.0,-0.0003532740680068478,3.189852957001182e-05,0.25908467085980486,-0.00037314640774438945,-0.0002566949449924996,-4.8055342534478286e-05,-0.004549300279430328,0.000364139055025595,0.3913172362631285,0.0
0.154,hover,0.0,0.0,0.0,0.0,-0.00036247927995168523,3.263863458219425e-05,0.25986600265181176,-0.0003743762445528875,-0.0002413816594065726,-4.959648184998168e-05,-0.004602605972418704,0.00037005250609121695,0.39066589600345397,0.0
0.156,hover,0.0,0.0,0.0,0.0,-0.0003717911242766238,3.339068320342743e-05,0.26064621950500044,-0.0003755310735355184,-0.00022575867239346808,-5.1242509023084705e-05,-0.004655922162469273,0.00037602431061659086,0.3901084265943449,0.0
0.158,hover,0.0,0.0,0.0,0.0,-0.00038120831111791253,3.4154758576067194e-05,0.2614250438776099,-0.00037660630120916057,-0.00020982689443158848,-5.2694494789969624e-05,-0.004708593420644379,0.0003820376863198836,0.3894121863047135,0.0
0.16,hover,0.0,0.0,0.0,0.0,-0.00039072873480188987,3.4930239246679704e-05,0.2622020339642923,-0.00037759966723382684,-0.00019355921717700047,-5.4382002622695425e-05,-0.004760211841988666,0.000387740335306255,0.3884950433411961,0.0
0.162,hover,0.0,0.0,0.0,0.0,-0.0004003504937577583,3.571730767204039e-05,0.26297692109754117,-0.00037850419012216887,-0.00017694527179202806,-5.582168981072237e-05,-0.00481087947793421,0.00039353421268034135,0.38744356662441815,0.0
0.164,hover,0.0,0.0,0.0,0.0,-0.0004100729770921862,3.6515887814537875e-05,0.26375000256298925,-0.00037932735122830436,-0.00015999060516018115,-5.748549873951742e-05,-0.004861241667213961,0.0003992900712487413,0.3865407327240432,0.0
0.166,hover,0.0,0.0,0.0,0.0,-0.00041989679222540854,3.732667070295759e-05,0.26452172226629656,-0.00038007421387305473,-0.00014274357469422341,-5.903867121085719e-05,-0.004911907566611169,0.0004053914442098581,0.38585985165365766,0.0
